collected_at_utc,source,source_url,attribution,rate_type,origin,destination,lane,region,weight_break_kg,chargeable_kg,currency,usd_per_kg_min,usd_per_kg_max,usd_per_kg_mid,total_min_usd,total_max_usd,transit_min_days,transit_max_days,num_quotes,status,error,source_as_of
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,PVG,FRA,PVG-FRA,Asia-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=PVG&destination=FRA&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,PVG,FRA,PVG-FRA,Asia-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=PVG&destination=FRA&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,SIN,LHR,SIN-LHR,Asia-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=SIN&destination=LHR&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,SIN,LHR,SIN-LHR,Asia-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=SIN&destination=LHR&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,DXB,LHR,DXB-LHR,ME-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=DXB&destination=LHR&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,DXB,LHR,DXB-LHR,ME-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=DXB&destination=LHR&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,LHR,BOM,LHR-BOM,Europe-India,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=LHR&destination=BOM&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,LHR,BOM,LHR-BOM,Europe-India,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=LHR&destination=BOM&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,FRA,BOM,FRA-BOM,Europe-India,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=FRA&destination=BOM&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,FRA,BOM,FRA-BOM,Europe-India,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=FRA&destination=BOM&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Buenos Aires,Shenzhen-Buenos Aires,China-Argentina,,,USD,7.5,7.5,7.5,,,40.0,40.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Busan,Shenzhen-Busan,China-South Korea,,,USD,2.2,2.2,2.2,,,4.0,4.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Callao,Shenzhen-Callao,China-Peru,,,USD,6.8,6.8,6.8,,,35.0,35.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Durban,Shenzhen-Durban,China-South Africa,,,USD,6.5,6.5,6.5,,,28.0,28.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Genoa,Shenzhen-Genoa,China-Italy,,,USD,5.2,5.2,5.2,,,32.0,32.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Ho Chi Minh,Shenzhen-Ho Chi Minh,China-Vietnam,,,USD,2.8,2.8,2.8,,,5.0,5.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Istanbul,Shenzhen-Istanbul,China-Turkey,,,USD,5.5,5.5,5.5,,,28.0,28.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Jebel Ali (Dubai),Shenzhen-Jebel Ali (Dubai),China-UAE,,,USD,3.8,3.8,3.8,,,16.0,16.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Lagos,Shenzhen-Lagos,China-Nigeria,,,USD,7.0,7.0,7.0,,,30.0,30.0,1,ok,,2026-07-24
